schedule_id,item_id,time_of_day,days_of_week
199,100,05:27:00,"Fri,Wed,Thu,Sat,Mon,Tue,Sun"
200,100,07:19:00,"Wed,Sun,Sat,Mon,Fri,Thu,Tue"
201,101,16:05:00,"Sun,Mon,Tue"
202,101,08:13:00,"Fri,Thu,Mon,Tue,Sun"
203,102,16:23:00,"Thu,Wed,Sat,Tue"
204,103,12:20:00,Thu
205,103,05:11:00,"Wed,Mon,Fri,Sun,Thu,Sat"
206,104,10:36:00,"Sun,Mon,Fri,Wed,Thu"
207,105,01:18:00,"Wed,Sat,Tue,Fri,Thu"
208,106,13:36:00,"Fri,Sat,Tue,Mon,Sun,Thu,Wed"
209,106,06:42:00,"Fri,Tue,Sun,Wed,Sat"
210,106,17:37:00,Fri
211,107,00:42:00,Tue
212,107,05:56:00,"Thu,Tue,Fri,Wed,Mon,Sat"
213,107,07:24:00,"Sun,Wed,Mon,Thu,Sat,Fri,Tue"
214,108,06:21:00,"Tue,Mon,Wed,Sun,Thu,Fri"
215,108,00:21:00,"Fri,Thu,Wed"
216,108,11:30:00,Mon
217,109,07:41:00,"Sat,Tue"
218,109,01:52:00,"Fri,Tue,Sun"
219,110,00:07:00,"Fri,Wed,Sun,Mon,Thu"
220,110,06:36:00,"Tue,Thu,Sun,Mon"
221,110,04:46:00,"Sun,Thu"
222,111,21:48:00,"Mon,Fri,Wed,Sat,Thu"
223,111,09:54:00,"Sat,Thu,Wed,Sun"
224,112,16:38:00,"Mon,Fri,Sat,Wed,Tue,Sun"
225,113,13:51:00,Sun
226,113,14:22:00,"Sat,Mon,Sun,Fri"
227,113,18:26:00,"Tue,Fri,Wed,Sat,Mon,Thu"
228,114,23:32:00,"Tue,Wed"
229,114,10:50:00,"Sat,Fri,Thu,Tue,Wed,Sun,Mon"
230,114,10:40:00,"Thu,Tue,Sat,Sun,Mon,Fri,Wed"
231,115,05:46:00,"Fri,Sun,Mon,Thu,Sat"
232,115,18:45:00,"Sat,Tue,Wed,Sun"
233,115,08:35:00,"Sat,Fri,Thu,Mon,Sun,Wed,Tue"
234,116,12:24:00,"Sat,Tue,Wed,Mon"
235,116,19:56:00,"Tue,Wed,Thu"
236,117,19:17:00,"Tue,Wed"
237,117,02:14:00,"Thu,Tue,Wed,Mon,Sun,Sat,Fri"
238,117,21:38:00,"Fri,Mon,Sun,Wed,Tue"
239,118,14:03:00,"Sun,Tue,Thu"
240,118,10:56:00,"Sun,Fri,Mon,Thu,Sat"
241,118,10:52:00,"Wed,Thu,Sun,Sat"
242,119,21:23:00,"Sun,Mon,Tue,Fri,Thu,Wed,Sat"
243,120,23:21:00,"Thu,Sun"
244,120,16:37:00,"Mon,Wed,Sun,Thu,Tue,Fri,Sat"
245,120,11:42:00,"Fri,Thu"
246,121,01:26:00,"Wed,Sun,Sat,Mon,Fri,Tue,Thu"
247,121,22:04:00,"Wed,Sun,Mon,Tue,Sat,Fri,Thu"
248,122,10:20:00,"Sun,Sat"
249,123,19:16:00,Wed
250,123,12:39:00,"Thu,Fri,Sat,Tue,Sun,Mon,Wed"
251,124,22:11:00,"Mon,Fri,Sat,Sun,Tue"
252,125,05:31:00,"Sat,Fri,Tue,Thu,Wed,Mon,Sun"
253,125,13:27:00,"Tue,Thu"
254,126,13:45:00,Sun
255,126,15:53:00,"Sun,Tue,Sat"
256,126,03:04:00,"Wed,Thu,Tue,Sat,Sun"
257,127,12:09:00,"Mon,Sat,Wed,Fri"
258,127,19:56:00,"Fri,Sat,Tue,Mon,Sun,Wed,Thu"
259,128,03:05:00,"Tue,Thu,Wed,Mon,Sun,Sat"
260,129,13:05:00,"Thu,Sat,Mon,Tue,Wed"
261,129,12:42:00,"Fri,Wed,Sun,Thu,Mon,Tue,Sat"
262,130,11:27:00,"Sun,Wed,Tue,Fri,Sat"
263,130,20:00:00,"Sun,Tue,Wed"
264,130,09:36:00,"Tue,Sat"
265,131,14:16:00,"Thu,Fri,Tue,Sun,Mon"
266,131,05:06:00,"Wed,Sat,Mon,Thu,Fri"
267,132,02:07:00,"Sat,Wed,Tue,Mon,Thu"
268,132,05:44:00,Mon
269,132,12:32:00,Fri
270,133,05:13:00,"Mon,Thu,Tue"
271,134,21:42:00,Sat
272,134,12:06:00,"Sun,Sat,Fri"
273,134,05:16:00,"Thu,Sun,Mon,Tue,Wed,Sat,Fri"
274,135,16:14:00,"Wed,Tue"
275,135,08:00:00,"Tue,Fri,Sat,Sun,Mon"
276,135,12:53:00,"Thu,Sun"
277,136,08:19:00,"Sat,Wed,Mon,Thu,Sun,Tue"
278,137,04:11:00,"Fri,Thu,Wed,Mon,Sun,Tue"
279,137,08:24:00,"Sat,Mon,Wed,Tue,Thu,Fri,Sun"
280,138,04:12:00,Wed
281,139,05:03:00,"Fri,Thu"
282,140,14:28:00,"Sat,Sun,Tue,Thu"
283,140,00:57:00,"Sat,Tue,Fri,Wed,Sun"
284,140,03:52:00,"Sun,Fri,Wed,Sat,Mon"
285,141,14:24:00,"Fri,Wed,Sun,Thu,Tue,Sat"
286,141,14:48:00,"Fri,Sun,Mon,Wed,Thu,Sat,Tue"
287,142,11:10:00,Mon
288,142,08:16:00,Fri
289,143,06:27:00,"Fri,Thu"
290,143,18:23:00,"Thu,Sat,Sun,Mon"
291,143,00:34:00,"Sun,Sat,Wed,Tue"
292,144,00:29:00,"Tue,Sat,Thu,Wed"
293,145,16:39:00,"Fri,Tue,Sun,Mon"
294,146,01:14:00,"Mon,Thu,Sun"
295,146,06:50:00,"Fri,Sat,Wed,Mon,Thu,Tue,Sun"
296,146,01:36:00,"Fri,Mon,Tue,Thu,Sun,Wed"
297,147,09:01:00,"Sun,Mon,Fri,Thu,Wed,Tue"
298,147,03:44:00,"Wed,Fri,Tue,Sat"
299,148,23:56:00,"Sat,Wed,Tue,Fri,Sun,Mon,Thu"
300,149,15:57:00,Thu
301,149,10:58:00,"Sat,Tue,Wed,Sun,Fri,Mon"
302,149,15:51:00,Sat
303,150,07:11:00,"Mon,Sun,Thu,Sat,Tue"
304,150,15:37:00,"Thu,Fri,Tue,Wed"
305,150,19:00:00,"Sat,Wed"
306,151,09:36:00,Fri
307,152,01:06:00,"Sat,Thu,Fri,Tue,Sun,Mon,Wed"
308,153,08:03:00,"Tue,Sat,Mon,Fri,Thu,Sun,Wed"
309,153,14:45:00,"Thu,Sat,Wed,Sun"
310,154,05:40:00,"Wed,Mon,Thu,Sat"
311,155,09:48:00,"Wed,Tue,Mon,Sun"
312,155,10:01:00,"Fri,Wed,Mon"
313,156,17:10:00,"Sat,Mon"
314,157,21:06:00,Tue
315,158,22:15:00,"Wed,Sat,Thu"
316,159,21:33:00,"Mon,Sat,Fri,Thu,Sun,Tue"
317,159,03:24:00,"Sun,Fri,Mon,Wed"
318,160,23:12:00,"Sun,Thu,Fri,Mon"
319,160,11:39:00,"Wed,Sun,Thu"
320,160,20:34:00,"Mon,Sun"
321,161,16:45:00,"Tue,Fri,Wed,Sat,Sun"
322,161,14:45:00,"Wed,Thu,Tue,Sat"
323,161,12:38:00,"Wed,Tue,Mon,Fri,Thu,Sun,Sat"
324,162,19:33:00,"Fri,Thu,Wed,Sun,Tue"
325,162,03:58:00,Thu
326,162,11:15:00,"Sun,Sat,Thu,Fri,Wed"
327,163,06:48:00,Tue
328,163,17:49:00,"Wed,Sat,Fri,Tue,Thu,Sun,Mon"
329,164,06:21:00,Mon
330,164,11:10:00,"Mon,Sun"
331,165,09:09:00,"Fri,Sun,Sat,Thu,Tue,Wed"
332,165,19:29:00,"Tue,Thu,Sat,Mon,Wed"
333,165,14:02:00,"Wed,Sat,Tue"
334,166,05:13:00,"Thu,Fri"
335,166,10:33:00,"Thu,Tue"
336,166,01:13:00,"Sun,Tue"
337,167,01:42:00,"Sun,Fri,Thu,Mon,Sat"
338,167,11:48:00,"Tue,Sun,Mon"
339,167,15:16:00,Sat
340,168,06:38:00,"Thu,Tue,Sat,Fri,Wed"
341,169,04:03:00,Wed
342,169,19:25:00,"Wed,Thu,Fri"
343,169,03:11:00,"Tue,Thu,Sun,Mon,Wed,Fri"
344,170,12:11:00,"Wed,Tue,Mon,Sat,Sun,Fri,Thu"
345,170,22:41:00,Tue
346,170,14:36:00,"Tue,Sat,Sun,Thu,Wed,Mon"
347,171,22:56:00,"Mon,Fri,Sun,Thu,Wed"
348,171,18:34:00,"Wed,Mon,Thu,Sat"
349,172,04:20:00,"Sat,Fri,Tue,Wed,Thu,Mon,Sun"
350,172,19:35:00,"Wed,Sat,Sun,Fri,Thu"
351,172,14:11:00,"Fri,Sat,Tue,Wed,Thu,Sun,Mon"
352,173,03:04:00,"Sat,Sun"
353,174,12:16:00,"Thu,Sun,Tue,Wed,Fri,Sat"
354,174,19:01:00,"Sat,Fri"
355,175,03:41:00,"Sat,Mon,Sun"
356,175,21:27:00,"Thu,Sat,Mon,Wed,Sun,Fri"
357,176,02:28:00,"Sat,Fri,Thu,Wed,Mon,Tue,Sun"
358,176,14:03:00,"Wed,Mon,Sun,Thu,Fri,Sat"
359,176,20:23:00,"Tue,Mon,Sun,Wed"
360,177,13:34:00,"Sat,Thu,Tue,Mon"
361,178,17:45:00,"Tue,Sat,Thu,Mon,Wed"
362,179,00:27:00,"Fri,Mon,Tue,Sat,Wed,Thu"
363,179,08:01:00,"Thu,Mon,Sun,Fri,Sat,Wed"
364,180,05:34:00,"Tue,Mon,Sat"
365,180,21:40:00,Thu
366,181,10:36:00,"Sat,Sun,Fri,Tue,Mon"
367,181,18:38:00,Thu
368,181,22:51:00,"Sat,Tue"
369,182,15:14:00,"Sun,Tue"
370,182,03:16:00,"Thu,Sun,Sat,Wed,Tue,Mon,Fri"
371,182,04:09:00,"Fri,Sat,Tue"
372,183,02:20:00,"Sat,Sun,Thu,Fri,Wed,Mon"
373,184,18:12:00,"Sun,Mon,Sat,Tue,Wed"
374,184,01:54:00,"Wed,Sun,Mon"
375,185,14:01:00,Sat
376,186,04:20:00,"Mon,Sat,Sun,Tue,Fri,Wed,Thu"
377,186,07:02:00,"Fri,Sat"
378,186,02:02:00,"Mon,Thu,Sat,Tue,Wed,Fri"
379,187,03:33:00,"Sat,Mon"
380,188,23:07:00,"Thu,Mon,Fri,Sat,Sun,Wed,Tue"
381,188,16:01:00,"Wed,Sun"
382,189,00:30:00,Sun
383,189,16:00:00,"Fri,Wed"
384,190,09:27:00,"Wed,Sun,Thu,Fri,Tue,Mon,Sat"
385,191,16:55:00,"Sun,Tue"
386,192,13:49:00,"Thu,Tue,Sat,Sun"
387,192,08:17:00,Fri
388,193,03:08:00,Fri
389,194,10:21:00,"Tue,Sun,Wed,Sat,Fri"
390,195,06:01:00,"Wed,Sat,Thu,Tue,Mon,Sun"
391,196,02:32:00,"Wed,Sun,Sat,Thu"
392,197,09:39:00,"Thu,Sun,Sat,Mon"
393,197,04:19:00,"Wed,Sat,Sun,Fri,Mon"
394,198,09:43:00,"Mon,Sun,Wed,Tue,Sat"
395,198,10:40:00,"Mon,Thu"
396,199,11:15:00,"Sun,Sat,Tue,Wed,Thu"
397,199,22:38:00,"Thu,Wed,Tue,Fri,Sat,Mon,Sun"
398,199,10:38:00,"Mon,Sat,Thu,Sun,Fri,Wed"
399,200,05:21:00,"Sat,Mon,Fri,Tue,Thu,Sun,Wed"
400,201,17:43:00,Wed
401,202,19:20:00,"Wed,Thu,Fri"
402,202,13:52:00,"Thu,Sun,Mon,Fri,Sat,Tue,Wed"
403,203,06:14:00,"Mon,Sun,Wed,Tue"
404,203,01:25:00,"Tue,Wed,Mon,Sun"
405,204,03:20:00,"Fri,Sun,Tue,Wed,Thu,Mon"
406,204,17:13:00,"Wed,Sat"
407,205,19:08:00,Sat
408,205,03:15:00,"Fri,Sun"
409,206,10:21:00,"Sat,Sun,Tue,Mon,Wed"
410,206,02:00:00,"Thu,Wed,Fri,Sat"
411,207,08:21:00,"Tue,Fri,Sun,Wed,Thu,Sat,Mon"
412,208,10:42:00,"Mon,Fri,Tue,Sat"
413,209,03:12:00,"Mon,Fri,Tue,Sat,Thu,Wed,Sun"
414,209,16:30:00,"Thu,Wed,Fri,Sat,Mon"
415,209,23:58:00,"Sun,Tue,Mon,Thu"
416,210,09:26:00,Wed
417,210,02:54:00,"Tue,Sun,Thu"
418,211,04:06:00,"Wed,Sun,Tue,Sat,Mon,Fri,Thu"
419,211,19:48:00,"Sun,Wed,Sat,Mon,Thu"
420,212,13:18:00,"Sun,Wed,Sat,Mon,Thu"
421,212,05:59:00,"Fri,Sat,Thu,Tue,Mon,Sun,Wed"
422,213,23:05:00,"Sun,Thu,Mon"
423,213,07:32:00,"Fri,Thu,Mon,Tue,Sun,Wed"
424,214,20:35:00,Sat
425,215,01:15:00,"Wed,Tue,Sun,Sat,Mon"
426,215,15:06:00,"Mon,Tue,Fri,Wed,Sun,Sat,Thu"
427,215,16:00:00,Wed
428,216,07:58:00,Tue
429,217,01:35:00,"Sun,Tue,Mon,Fri,Wed"
430,217,16:03:00,"Sun,Tue,Sat,Mon,Fri,Wed"
431,218,12:34:00,"Mon,Thu,Fri"
432,218,07:47:00,"Thu,Tue,Mon,Fri,Sat"
433,218,00:29:00,"Sun,Wed,Fri,Tue"
434,219,16:48:00,"Thu,Mon,Tue,Sun"
435,219,20:04:00,"Wed,Mon,Sat"
436,219,10:19:00,"Fri,Thu,Mon,Sun,Wed,Sat"
437,220,11:48:00,Mon
438,220,03:39:00,"Fri,Mon,Sat,Thu,Wed"
439,220,20:32:00,"Fri,Mon,Thu,Sun,Wed"
440,221,16:19:00,Wed
441,221,08:30:00,"Tue,Wed,Thu,Mon,Sat"
442,222,14:41:00,"Sun,Tue"
443,222,13:25:00,Wed
444,222,03:47:00,"Sat,Sun,Thu"
445,223,09:06:00,Tue
446,223,18:41:00,"Thu,Wed,Tue"
447,223,07:46:00,"Thu,Mon,Wed,Sun,Sat,Fri,Tue"
448,224,23:04:00,"Sun,Wed,Sat"
449,224,11:54:00,"Wed,Fri,Sat,Tue,Sun,Mon,Thu"
450,224,18:53:00,"Mon,Fri"
451,225,21:45:00,"Sun,Tue,Mon,Thu,Sat,Fri,Wed"
452,225,00:41:00,"Fri,Sat"
453,225,22:37:00,"Thu,Tue"
454,226,19:00:00,"Mon,Fri,Tue,Thu"
455,226,20:17:00,"Fri,Sat,Mon,Tue"
456,226,17:48:00,"Mon,Fri,Sun"
457,227,01:07:00,"Tue,Thu,Mon,Sun,Fri"
458,227,09:04:00,"Sun,Fri,Wed,Tue,Sat"
459,228,03:21:00,"Sat,Sun,Fri"
460,229,05:23:00,"Wed,Sun,Thu,Sat,Tue,Mon,Fri"
461,229,09:07:00,"Sat,Fri,Mon,Sun,Wed"
462,229,07:35:00,"Fri,Sun,Wed"
463,230,23:03:00,"Fri,Sat,Wed,Mon,Sun"
464,230,23:35:00,Sat
465,231,10:41:00,"Sat,Mon,Tue,Sun"
466,231,02:34:00,"Sun,Mon,Thu,Fri,Sat,Tue"
467,232,03:13:00,"Sat,Tue,Mon,Fri,Wed,Thu,Sun"
468,233,06:14:00,"Thu,Fri,Mon"
469,233,17:18:00,"Mon,Fri,Sat,Wed,Thu,Sun,Tue"
470,234,16:21:00,"Thu,Sun,Mon"
471,234,10:24:00,"Mon,Sun,Thu,Wed"
472,235,19:11:00,"Thu,Sat,Wed,Fri,Sun,Tue,Mon"
473,235,17:04:00,"Mon,Sat,Sun,Fri,Thu,Wed"
474,236,14:11:00,"Sat,Wed,Thu,Fri,Tue,Mon,Sun"
475,237,16:56:00,"Wed,Sat,Tue,Sun"
476,237,21:41:00,"Fri,Sun,Thu,Tue,Sat,Wed,Mon"
477,237,17:40:00,"Tue,Thu,Sat,Wed,Sun"
478,238,18:50:00,"Tue,Fri,Thu,Sat,Mon,Wed"
479,238,01:27:00,"Tue,Wed,Mon,Thu,Sat"
480,238,08:16:00,"Wed,Mon,Sat,Sun,Fri,Thu"
481,239,16:49:00,Thu
